id,bpm,accuracy,time_ms,time_iso,synced
1,77.0,3,1783267631326,2026-07-05T23:07:11.326,1
2,79.0,3,1783267632324,2026-07-05T23:07:12.324,1
3,80.0,3,1783267633324,2026-07-05T23:07:13.324,1
4,81.0,3,1783267634324,2026-07-05T23:07:14.324,1
5,82.0,3,1783267635324,2026-07-05T23:07:15.324,1
6,83.0,3,1783267636324,2026-07-05T23:07:16.324,1
7,85.0,3,1783267637325,2026-07-05T23:07:17.325,1
8,86.0,3,1783267638324,2026-07-05T23:07:18.324,1
9,86.0,3,1783267639332,2026-07-05T23:07:19.332,1
10,86.0,3,1783267640336,2026-07-05T23:07:20.336,1
11,86.0,3,1783267641325,2026-07-05T23:07:21.325,1
12,86.0,3,1783267642488,2026-07-05T23:07:22.488,1
13,85.0,3,1783267643451,2026-07-05T23:07:23.451,1
14,85.0,3,1783267644384,2026-07-05T23:07:24.384,1
15,85.0,3,1783267645502,2026-07-05T23:07:25.502,1
16,84.0,3,1783267646379,2026-07-05T23:07:26.379,1
17,84.0,3,1783267647339,2026-07-05T23:07:27.339,1
18,83.0,3,1783267648424,2026-07-05T23:07:28.424,1
19,82.0,3,1783267649340,2026-07-05T23:07:29.340,1
20,82.0,3,1783267650325,2026-07-05T23:07:30.325,1
21,81.0,3,1783267651332,2026-07-05T23:07:31.332,1
22,81.0,3,1783267652460,2026-07-05T23:07:32.460,1
23,81.0,3,1783267653350,2026-07-05T23:07:33.350,1
24,81.0,3,1783267654325,2026-07-05T23:07:34.325,1
25,81.0,3,1783267655334,2026-07-05T23:07:35.334,1
26,81.0,3,1783267656324,2026-07-05T23:07:36.324,1
27,81.0,3,1783267657325,2026-07-05T23:07:37.325,1
28,81.0,3,1783267658335,2026-07-05T23:07:38.335,1
29,81.0,3,1783267659342,2026-07-05T23:07:39.342,1
30,81.0,3,1783267660330,2026-07-05T23:07:40.330,1
31,81.0,3,1783267661331,2026-07-05T23:07:41.331,1
32,80.0,3,1783267662331,2026-07-05T23:07:42.331,1
33,81.0,3,1783267663333,2026-07-05T23:07:43.333,1
34,80.0,3,1783267664336,2026-07-05T23:07:44.336,1
35,81.0,3,1783267665339,2026-07-05T23:07:45.339,1
36,81.0,3,1783267666331,2026-07-05T23:07:46.331,1
37,81.0,3,1783267667324,2026-07-05T23:07:47.324,1
38,81.0,3,1783267668325,2026-07-05T23:07:48.325,1
39,81.0,3,1783267669324,2026-07-05T23:07:49.324,1
40,82.0,3,1783267670329,2026-07-05T23:07:50.329,1
41,84.0,3,1783267671336,2026-07-05T23:07:51.336,1
42,86.0,3,1783267672334,2026-07-05T23:07:52.334,1
43,87.0,3,1783267673329,2026-07-05T23:07:53.329,1
44,87.0,3,1783267674338,2026-07-05T23:07:54.338,1
45,87.0,3,1783267675327,2026-07-05T23:07:55.327,1
46,86.0,3,1783267676344,2026-07-05T23:07:56.344,1
47,86.0,3,1783267677327,2026-07-05T23:07:57.327,1
48,85.0,3,1783267678327,2026-07-05T23:07:58.327,1
49,86.0,3,1783267679324,2026-07-05T23:07:59.324,1
50,88.0,3,1783267680348,2026-07-05T23:08:00.348,1
51,89.0,3,1783267681349,2026-07-05T23:08:01.349,1
52,90.0,3,1783267682325,2026-07-05T23:08:02.325,1
53,90.0,3,1783267683334,2026-07-05T23:08:03.334,1
54,90.0,3,1783267684324,2026-07-05T23:08:04.324,1
55,91.0,3,1783267685324,2026-07-05T23:08:05.324,1
56,92.0,3,1783267686327,2026-07-05T23:08:06.327,1
57,92.0,3,1783267687415,2026-07-05T23:08:07.415,1
58,92.0,3,1783267688337,2026-07-05T23:08:08.337,1
59,91.0,3,1783267689362,2026-07-05T23:08:09.362,1
60,90.0,3,1783267690327,2026-07-05T23:08:10.327,1
61,90.0,3,1783267691331,2026-07-05T23:08:11.331,1
62,90.0,3,1783267692325,2026-07-05T23:08:12.325,1
63,90.0,3,1783267693348,2026-07-05T23:08:13.348,1
64,91.0,3,1783267694337,2026-07-05T23:08:14.337,1
65,90.0,3,1783267695324,2026-07-05T23:08:15.324,1
66,89.0,3,1783267696324,2026-07-05T23:08:16.324,1
67,89.0,3,1783267697324,2026-07-05T23:08:17.324,1
68,88.0,3,1783267698324,2026-07-05T23:08:18.324,1
69,87.0,3,1783267699327,2026-07-05T23:08:19.327,1
70,86.0,3,1783267700328,2026-07-05T23:08:20.328,1
71,85.0,3,1783267701327,2026-07-05T23:08:21.327,1
72,84.0,3,1783267702326,2026-07-05T23:08:22.326,1
73,84.0,3,1783267703328,2026-07-05T23:08:23.328,1
74,83.0,3,1783267704328,2026-07-05T23:08:24.328,1
75,82.0,3,1783267705328,2026-07-05T23:08:25.328,1
76,82.0,3,1783267706327,2026-07-05T23:08:26.327,1
77,81.0,3,1783267707325,2026-07-05T23:08:27.325,1
78,81.0,3,1783267708328,2026-07-05T23:08:28.328,1
79,81.0,3,1783267709328,2026-07-05T23:08:29.328,1
80,81.0,3,1783267710328,2026-07-05T23:08:30.328,1
81,80.0,3,1783267711328,2026-07-05T23:08:31.328,1
82,79.0,3,1783267712325,2026-07-05T23:08:32.325,1
83,79.0,3,1783267713327,2026-07-05T23:08:33.327,1
84,79.0,3,1783267714328,2026-07-05T23:08:34.328,1
85,79.0,3,1783267715441,2026-07-05T23:08:35.441,1
86,79.0,3,1783267716335,2026-07-05T23:08:36.335,1
87,79.0,3,1783267717327,2026-07-05T23:08:37.327,1
88,80.0,3,1783267718379,2026-07-05T23:08:38.379,1
89,80.0,3,1783267719339,2026-07-05T23:08:39.339,1
90,81.0,3,1783267720360,2026-07-05T23:08:40.360,1
91,82.0,3,1783267721374,2026-07-05T23:08:41.374,1
92,83.0,3,1783267722353,2026-07-05T23:08:42.353,1
93,84.0,3,1783267723371,2026-07-05T23:08:43.371,1
94,85.0,3,1783267724373,2026-07-05T23:08:44.373,1
95,86.0,3,1783267725377,2026-07-05T23:08:45.377,1
96,87.0,3,1783267726381,2026-07-05T23:08:46.381,1
97,86.0,3,1783267727370,2026-07-05T23:08:47.370,1
98,86.0,3,1783267728324,2026-07-05T23:08:48.324,1
99,86.0,3,1783267729324,2026-07-05T23:08:49.324,1
100,85.0,3,1783267730325,2026-07-05T23:08:50.325,1
101,86.0,3,1783267731324,2026-07-05T23:08:51.324,1
102,86.0,3,1783267732325,2026-07-05T23:08:52.325,1
103,86.0,3,1783267733325,2026-07-05T23:08:53.325,1
104,86.0,3,1783267734376,2026-07-05T23:08:54.376,1
